Number_of_Vehicles,Engine_CC_Mean,Speed_limit,Weather_Conditions,Road_Surface_Conditions,Light_Conditions,Urban_or_Rural_Area,Day_of_Week,Hour,Accident_Severity
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Friday,0,Slight
0,1997.0,30.0,Raining no high winds,Wet or damp,Daylight,Urban,Monday,0,Slight
0,1414.0,30.0,Raining no high winds,Wet or damp,Darkness - lights lit,Rural,Monday,0,Slight
0,1799.0,30.0,Fine no high winds,Dry,Daylight,Rural,Wednesday,0,Slight
0,2685.0,40.0,Fine no high winds,Wet or damp,Daylight,Rural,Saturday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Rural,Thursday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Monday,0,Slight
0,1199.0,30.0,Fine no high winds,Dry,Daylight,Urban,Wednesday,0,Slight
0,0.0,30.0,Fine no high winds,Wet or damp,Darkness - lights lit,Urban,Saturday,0,Slight
0,918.0,30.0,Fine no high winds,Dry,Daylight,Urban,Friday,0,Slight
0,1587.0,30.0,Fine no high winds,Dry,Daylight,Urban,Wednesday,0,Slight
0,1248.5,30.0,Fine no high winds,Dry,Daylight,Urban,Thursday,0,Slight
0,49.0,40.0,Fine no high winds,Dry,Daylight,Rural,Sunday,0,Serious
0,0.0,60.0,Other,Wet or damp,Daylight,Rural,Wednesday,0,Slight
0,1612.0,70.0,Fine no high winds,Dry,Daylight,Rural,Monday,0,Serious
0,125.0,40.0,Fine no high winds,Dry,Darkness - lights lit,Urban,Thursday,0,Slight
0,1997.5,30.0,Raining no high winds,Wet or damp,Daylight,Urban,Saturday,0,Slight
0,0.0,30.0,Fine no high winds,Wet or damp,Darkness - lights lit,Urban,Saturday,0,Slight
0,1399.0,30.0,Fine no high winds,Dry,Daylight,Rural,Tuesday,0,Slight
0,6744.0,60.0,Fine no high winds,Wet or damp,Daylight,Rural,Monday,0,Slight
0,1796.5,70.0,Fine no high winds,Wet or damp,Daylight,Rural,Friday,0,Slight
0,6374.0,30.0,Fine no high winds,Dry,Daylight,Urban,Saturday,0,Slight
0,1395.5,30.0,Fine no high winds,Wet or damp,Darkness - lights lit,Rural,Monday,0,Slight
0,1242.0,30.0,Fine no high winds,Dry,Daylight,Urban,Tuesday,0,Slight
0,1389.0,30.0,Fine no high winds,Wet or damp,Darkness - lights lit,Urban,Monday,0,Slight
0,1995.0,30.0,Fine no high winds,Wet or damp,Darkness - lights lit,Urban,Thursday,0,Serious
0,1995.0,20.0,Fine no high winds,Dry,Darkness - lights lit,Urban,Saturday,0,Slight
0,5498.333333333333,50.0,Fine no high winds,Dry,Daylight,Rural,Wednesday,0,Slight
0,3498.0,40.0,Fine no high winds,Wet or damp,Daylight,Rural,Saturday,0,Slight
0,1896.0,40.0,Fine no high winds,Dry,Daylight,Urban,Friday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Wednesday,0,Slight
0,1648.5,30.0,Raining no high winds,Wet or damp,Darkness - lights lit,Urban,Tuesday,0,Slight
0,2151.0,30.0,Fine no high winds,Dry,Darkness - lights lit,Urban,Saturday,0,Slight
0,2402.0,30.0,Fine no high winds,Wet or damp,Daylight,Urban,Friday,0,Fatal
0,1700.0,70.0,Fine + high winds,Wet or damp,Darkness - no lighting,Rural,Monday,0,Slight
0,1242.0,40.0,Fine no high winds,Dry,Daylight,Urban,Tuesday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Darkness - lights lit,Urban,Saturday,0,Slight
0,0.0,60.0,Fine no high winds,Dry,Daylight,Rural,Thursday,0,Serious
0,1968.0,30.0,Fine no high winds,Dry,Daylight,Urban,Tuesday,0,Slight
0,1663.6666666666667,70.0,Raining no high winds,Wet or damp,Daylight,Urban,Tuesday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Friday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Monday,0,Slight
0,7249.0,60.0,Fine no high winds,Dry,Daylight,Rural,Friday,0,Serious
0,2199.0,30.0,Fine no high winds,Dry,Daylight,Urban,Wednesday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Rural,Sunday,0,Serious
0,0.0,40.0,Fine no high winds,Dry,Daylight,Rural,Monday,0,Slight
0,1749.0,30.0,Fine no high winds,Dry,Daylight,Urban,Monday,0,Slight
0,1797.5,60.0,Fine no high winds,Wet or damp,Daylight,Urban,Friday,0,Slight
0,1995.0,30.0,Fine no high winds,Dry,Daylight,Rural,Monday,0,Slight
0,2056.0,70.0,Fine no high winds,Dry,Daylight,Rural,Friday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Monday,0,Slight
0,817.5,30.0,Fine no high winds,Dry,Daylight,Rural,Thursday,0,Slight
0,1901.0,30.0,Fine no high winds,Dry,Daylight,Urban,Monday,0,Slight
0,1598.0,30.0,Fine no high winds,Dry,Daylight,Urban,Friday,0,Slight
0,2231.0,20.0,Raining no high winds,Wet or damp,Daylight,Urban,Saturday,0,Slight
0,2200.5,60.0,Fine no high winds,Dry,Daylight,Rural,Tuesday,0,Slight
0,0.0,70.0,Fine no high winds,Wet or damp,Daylight,Rural,Wednesday,0,Slight
0,1584.5,70.0,Fine no high winds,Dry,Daylight,Rural,Friday,0,Slight
0,1498.0,40.0,Unknown,Dry,Daylight,Rural,Tuesday,0,Slight
0,2926.0,30.0,Fine no high winds,Dry,Daylight,Urban,Monday,0,Slight
0,1586.0,40.0,Fine no high winds,Dry,Daylight,Urban,Wednesday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Darkness - lights lit,Urban,Tuesday,0,Slight
0,2402.0,70.0,Fine no high winds,Dry,Daylight,Urban,Friday,0,Slight
0,1447.0,30.0,Snowing + high winds,Snow,Darkness - lights lit,Urban,Friday,0,Slight
0,1242.0,60.0,Fine no high winds,Dry,Darkness - no lighting,Rural,Monday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Tuesday,0,Slight
0,1998.0,30.0,Fine no high winds,Dry,Daylight,Rural,Wednesday,0,Serious
0,0.0,60.0,Fine no high winds,Wet or damp,Darkness - no lighting,Rural,Friday,0,Slight
0,1896.0,40.0,Fine no high winds,Dry,Darkness - lights lit,Urban,Tuesday,0,Serious
0,0.0,70.0,Raining no high winds,Wet or damp,Daylight,Rural,Sunday,0,Slight
0,2494.0,60.0,Fine no high winds,Dry,Daylight,Rural,Friday,0,Slight
0,1300.0,30.0,Fine no high winds,Dry,Darkness - lights lit,Urban,Saturday,0,Slight
0,0.0,30.0,Raining no high winds,Wet or damp,Daylight,Urban,Wednesday,0,Serious
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Friday,0,Slight
0,1399.0,30.0,Fine no high winds,Dry,Daylight,Urban,Thursday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Sunday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Friday,0,Slight
0,599.0,30.0,Fine no high winds,Dry,Daylight,Rural,Sunday,0,Serious
0,2184.0,70.0,Fine no high winds,Dry,Darkness - lights lit,Rural,Thursday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Thursday,0,Slight
0,6871.0,30.0,Unknown,Dry,Daylight,Urban,Friday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Darkness - lights lit,Urban,Monday,0,Slight
0,2987.0,30.0,Fine no high winds,Wet or damp,Daylight,Urban,Friday,0,Serious
0,0.0,60.0,Fine no high winds,Wet or damp,Darkness - no lighting,Rural,Wednesday,0,Slight
0,6473.5,70.0,Fine no high winds,Dry,Darkness - no lighting,Rural,Thursday,0,Fatal
0,0.0,40.0,Raining no high winds,Wet or damp,Darkness - no lighting,Rural,Friday,0,Slight
0,9000.0,30.0,Fine no high winds,Dry,Daylight,Urban,Tuesday,0,Slight
0,0.0,40.0,Fine no high winds,Dry,Daylight,Rural,Saturday,0,Slight
0,1578.0,30.0,Fine no high winds,Dry,Daylight,Urban,Thursday,0,Slight
0,1968.0,30.0,Fine no high winds,Dry,Darkness - lights lit,Urban,Saturday,0,Slight
0,1526.6666666666667,60.0,Fine no high winds,Wet or damp,Daylight,Rural,Monday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Rural,Tuesday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Friday,0,Slight
0,1598.0,30.0,Raining no high winds,Wet or damp,Daylight,Urban,Wednesday,0,Slight
0,2993.0,30.0,Raining no high winds,Wet or damp,Daylight,Urban,Tuesday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Friday,0,Slight
0,1992.5,30.0,Fine no high winds,Dry,Daylight,Rural,Friday,0,Slight
0,1483.0,70.0,Raining + high winds,Wet or damp,Darkness - no lighting,Rural,Saturday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Sunday,0,Slight
0,1275.0,40.0,Fine no high winds,Wet or damp,Darkness - lights lit,Urban,Saturday,0,Slight
0,125.0,30.0,Fine no high winds,Wet or damp,Darkness - lights lit,Urban,Thursday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Tuesday,0,Slight
0,999.0,60.0,Fine no high winds,Dry,Daylight,Rural,Sunday,0,Serious
0,1968.0,30.0,Fine no high winds,Dry,Daylight,Urban,Thursday,0,Slight
0,1895.0,40.0,Raining no high winds,Wet or damp,Darkness - lights lit,Urban,Wednesday,0,Slight
0,499.0,40.0,Fine no high winds,Dry,Daylight,Urban,Tuesday,0,Slight
0,2497.0,30.0,Unknown,Dry,Darkness - lights lit,Rural,Wednesday,0,Slight
0,0.0,20.0,Fine no high winds,Dry,Daylight,Urban,Thursday,0,Slight
0,1995.0,30.0,Fine no high winds,Dry,Daylight,Urban,Sunday,0,Slight
0,1896.0,40.0,Fine no high winds,Dry,Daylight,Rural,Friday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Friday,0,Slight
0,0.0,20.0,Fine no high winds,Dry,Daylight,Urban,Tuesday,0,Slight
0,1995.0,30.0,Fine no high winds,Dry,Daylight,Urban,Saturday,0,Slight
0,1590.0,30.0,Fine no high winds,Dry,Daylight,Urban,Thursday,0,Slight
0,2960.0,30.0,Fine no high winds,Dry,Daylight,Urban,Monday,0,Slight
0,1297.0,60.0,Raining no high winds,Wet or damp,Daylight,Rural,Monday,0,Slight
0,0.0,30.0,Raining no high winds,Wet or damp,Daylight,Urban,Friday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Friday,0,Slight
0,0.0,30.0,Snowing no high winds,Snow,Darkness - lights lit,Urban,Friday,0,Slight
0,0.0,30.0,Fine no high winds,Frost or ice,Daylight,Urban,Monday,0,Slight
0,1390.0,30.0,Raining no high winds,Wet or damp,Darkness - lights lit,Urban,Monday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Thursday,0,Slight
0,998.0,30.0,Raining no high winds,Wet or damp,Darkness - lights lit,Urban,Thursday,0,Slight
0,0.0,30.0,Unknown,Wet or damp,Darkness - lights lit,Urban,Wednesday,0,Slight
0,2402.0,30.0,Raining + high winds,Wet or damp,Darkness - lights lit,Urban,Thursday,0,Slight
0,1956.0,30.0,Fine no high winds,Dry,Darkness - lights lit,Urban,Sunday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Friday,0,Slight
0,1768.5,60.0,Fine no high winds,Dry,Daylight,Rural,Tuesday,0,Slight
0,1998.0,30.0,Fine no high winds,Dry,Daylight,Rural,Thursday,0,Slight
0,1560.0,30.0,Fine no high winds,Dry,Darkness - lighting unknown,Rural,Sunday,0,Slight
0,1324.0,60.0,Fine no high winds,Frost or ice,Daylight,Rural,Sunday,0,Slight
0,0.0,30.0,Unknown,Dry,Darkness - lighting unknown,Urban,Friday,0,Serious
0,2188.0,30.0,Fine no high winds,Dry,Daylight,Urban,Friday,0,Serious
0,1796.0,60.0,Unknown,Dry,Daylight,Rural,Tuesday,0,Slight
0,1288.0,30.0,Fine no high winds,Dry,Daylight,Urban,Friday,0,Slight
0,0.0,30.0,Fine no high winds,Wet or damp,Daylight,Urban,Thursday,0,Slight
0,0.0,30.0,Raining no high winds,Wet or damp,Daylight,Urban,Saturday,0,Serious
0,1779.0,30.0,Other,Wet or damp,Darkness - lights lit,Urban,Monday,0,Slight
0,1242.0,30.0,Fine no high winds,Dry,Daylight,Urban,Thursday,0,Slight
0,1991.0,60.0,Fine no high winds,Dry,Daylight,Rural,Monday,0,Slight
0,7049.0,70.0,Raining no high winds,Wet or damp,Darkness - lights lit,Rural,Friday,0,Slight
0,1242.0,40.0,Fine no high winds,Dry,Daylight,Urban,Friday,0,Slight
0,1998.0,60.0,Fine no high winds,Wet or damp,Daylight,Rural,Friday,0,Fatal
0,0.0,70.0,Fine no high winds,Dry,Darkness - lights lit,Rural,Thursday,0,Slight
0,973.0,30.0,Raining no high winds,Wet or damp,Daylight,Rural,Monday,0,Slight
0,1598.0,60.0,Raining + high winds,Wet or damp,Daylight,Rural,Monday,0,Slight
0,0.0,60.0,Fine no high winds,Frost or ice,Darkness - no lighting,Rural,Sunday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Sunday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Monday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Thursday,0,Slight
0,1592.0,60.0,Fine no high winds,Dry,Daylight,Rural,Saturday,0,Slight
0,4398.0,30.0,Fine no high winds,Dry,Darkness - lights lit,Urban,Friday,0,Slight
0,2460.0,30.0,Fine no high winds,Dry,Daylight,Urban,Tuesday,0,Slight
0,1124.0,60.0,Fine no high winds,Wet or damp,Daylight,Rural,Monday,0,Slight
0,12900.0,50.0,Fine no high winds,Dry,Daylight,Rural,Wednesday,0,Fatal
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Thursday,0,Slight
0,2720.0,60.0,Fine no high winds,Dry,Daylight,Rural,Monday,0,Slight
0,0.0,30.0,Snowing no high winds,Snow,Darkness - lights lit,Rural,Wednesday,0,Slight
0,0.0,30.0,Fine no high winds,Wet or damp,Daylight,Urban,Saturday,0,Slight
0,1896.0,50.0,Fine no high winds,Dry,Daylight,Rural,Thursday,0,Serious
0,0.0,30.0,Fine no high winds,Wet or damp,Darkness - lights lit,Urban,Sunday,0,Slight
0,0.0,40.0,Fine no high winds,Wet or damp,Daylight,Urban,Saturday,0,Slight
0,0.0,70.0,Fine no high winds,Dry,Daylight,Urban,Saturday,0,Slight
0,749.0,60.0,Fine no high winds,Dry,Daylight,Urban,Sunday,0,Slight
0,561.0,30.0,Fine no high winds,Dry,Darkness - lights lit,Urban,Monday,0,Slight
0,4580.0,70.0,Fine no high winds,Dry,Daylight,Urban,Friday,0,Slight
0,1988.0,60.0,Unknown,Dry,Daylight,Rural,Tuesday,0,Slight
0,1740.3333333333333,30.0,Fine no high winds,Dry,Daylight,Urban,Friday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Tuesday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Sunday,0,Slight
0,1242.0,30.0,Fine no high winds,Dry,Darkness - lights lit,Urban,Tuesday,0,Slight
0,1930.0,30.0,Fine no high winds,Dry,Daylight,Urban,Tuesday,0,Slight
0,0.0,40.0,Fine no high winds,Dry,Daylight,Rural,Thursday,0,Slight
0,6056.5,30.0,Raining no high winds,Wet or damp,Daylight,Urban,Tuesday,0,Slight
0,1398.0,30.0,Fine no high winds,Dry,Daylight,Urban,Thursday,0,Slight
0,1364.0,30.0,Fine no high winds,Dry,Daylight,Urban,Friday,0,Slight
0,0.0,30.0,Other,Wet or damp,Daylight,Urban,Sunday,0,Slight
0,1498.3333333333333,60.0,Fine no high winds,Dry,Daylight,Rural,Wednesday,0,Serious
0,1414.5,30.0,Fine no high winds,Dry,Daylight,Urban,Wednesday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Wednesday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Sunday,0,Slight
0,0.0,60.0,Raining no high winds,Wet or damp,Darkness - no lighting,Rural,Monday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Wednesday,0,Slight
0,989.0,30.0,Fine no high winds,Dry,Daylight,Urban,Tuesday,0,Serious
0,0.0,30.0,Fine no high winds,Dry,Darkness - lights lit,Urban,Saturday,0,Slight
0,1830.25,50.0,Fine no high winds,Dry,Daylight,Rural,Sunday,0,Slight
0,1398.0,60.0,Raining no high winds,Wet or damp,Darkness - no lighting,Rural,Wednesday,0,Serious
0,1798.0,40.0,Fine no high winds,Wet or damp,Daylight,Urban,Friday,0,Slight
0,1896.0,50.0,Raining no high winds,Wet or damp,Darkness - lights lit,Rural,Wednesday,0,Slight
0,1355.5,30.0,Fine no high winds,Dry,Daylight,Urban,Saturday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Saturday,0,Slight
0,4249.0,50.0,Fine no high winds,Dry,Daylight,Rural,Tuesday,0,Slight
0,1598.0,70.0,Raining no high winds,Wet or damp,Darkness - no lighting,Rural,Tuesday,0,Slight
0,1933.5,60.0,Fine no high winds,Dry,Daylight,Rural,Wednesday,0,Serious
0,1598.0,30.0,Fine no high winds,Dry,Daylight,Urban,Saturday,0,Slight
0,636.0,50.0,Fine no high winds,Dry,Daylight,Rural,Saturday,0,Fatal
0,0.0,40.0,Fine no high winds,Dry,Daylight,Urban,Wednesday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Darkness - no lighting,Rural,Thursday,0,Slight
0,0.0,60.0,Fine no high winds,Wet or damp,Daylight,Rural,Sunday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Darkness - lights lit,Urban,Saturday,0,Serious
0,0.0,60.0,Fine no high winds,Wet or damp,Darkness - no lighting,Rural,Sunday,0,Slight
0,0.0,30.0,Raining no high winds,Wet or damp,Darkness - lights lit,Urban,Sunday,0,Slight
0,0.0,30.0,Unknown,Wet or damp,Darkness - lights lit,Urban,Thursday,0,Slight
0,3960.0,30.0,Raining no high winds,Wet or damp,Daylight,Urban,Sunday,0,Slight
0,2148.0,30.0,Fine no high winds,Dry,Darkness - lights lit,Urban,Thursday,0,Fatal
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Tuesday,0,Slight
0,0.0,30.0,Fine no high winds,Wet or damp,Daylight,Rural,Sunday,0,Slight
0,1242.0,30.0,Fine no high winds,Wet or damp,Daylight,Urban,Sunday,0,Slight
0,0.0,30.0,Raining no high winds,Wet or damp,Darkness - lights lit,Urban,Tuesday,0,Slight
0,1935.0,60.0,Fine no high winds,Dry,Darkness - no lighting,Rural,Friday,0,Fatal
0,7434.0,70.0,Fine no high winds,Dry,Daylight,Urban,Thursday,0,Slight
0,1420.0,30.0,Fine no high winds,Dry,Daylight,Urban,Saturday,0,Slight
0,1753.0,30.0,Fine no high winds,Dry,Daylight,Rural,Saturday,0,Slight
0,1497.0,60.0,Other,Wet or damp,Daylight,Rural,Thursday,0,Slight
0,1248.0,30.0,Fine no high winds,Dry,Daylight,Urban,Friday,0,Slight
0,1998.0,30.0,Fine no high winds,Dry,Darkness - lights lit,Urban,Saturday,0,Slight
0,1585.5,60.0,Fine no high winds,Wet or damp,Daylight,Rural,Monday,0,Slight
0,2944.5,40.0,Fine no high winds,Dry,Daylight,Urban,Monday,0,Slight
0,1994.0,30.0,Raining no high winds,Wet or damp,Darkness - lights lit,Urban,Sunday,0,Slight
0,1493.0,30.0,Fine no high winds,Dry,Daylight,Urban,Tuesday,0,Slight
0,0.0,70.0,Fine no high winds,Wet or damp,Daylight,Rural,Friday,0,Slight
0,1998.0,50.0,Fine no high winds,Dry,Daylight,Urban,Friday,0,Slight
0,11967.0,30.0,Fine no high winds,Dry,Darkness - lights lit,Urban,Friday,0,Slight
0,1196.0,30.0,Fine no high winds,Dry,Daylight,Urban,Tuesday,0,Slight
0,0.0,50.0,Fine + high winds,Wet or damp,Daylight,Urban,Sunday,0,Slight
0,1242.0,40.0,Fine no high winds,Dry,Daylight,Rural,Monday,0,Slight
0,2221.5,30.0,Fine no high winds,Dry,Daylight,Rural,Sunday,0,Slight
0,0.0,60.0,Fine no high winds,Dry,Darkness - no lighting,Rural,Saturday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Darkness - lights lit,Urban,Tuesday,0,Serious
0,1762.0,30.0,Fine no high winds,Dry,Daylight,Urban,Wednesday,0,Slight
0,0.0,30.0,Other,Dry,Darkness - lights lit,Rural,Saturday,0,Slight
0,0.0,50.0,Fine no high winds,Dry,Daylight,Urban,Friday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Sunday,0,Serious
0,3440.0,30.0,Fine no high winds,Dry,Daylight,Urban,Thursday,0,Slight
0,1598.0,30.0,Fine + high winds,Wet or damp,Daylight,Urban,Saturday,0,Slight
0,1598.0,30.0,Fine no high winds,Dry,Daylight,Urban,Tuesday,0,Slight
0,5861.0,30.0,Fine no high winds,Dry,Daylight,Urban,Thursday,0,Slight
0,1031.0,70.0,Fine no high winds,Dry,Daylight,Rural,Sunday,0,Slight
0,7300.0,30.0,Unknown,Dry,Daylight,Urban,Monday,0,Serious
0,1560.0,70.0,Fine + high winds,Dry,Daylight,Rural,Saturday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Saturday,0,Slight
0,0.0,30.0,Raining no high winds,Wet or damp,Daylight,Urban,Thursday,0,Slight
0,0.0,60.0,Fine no high winds,Wet or damp,Darkness - no lighting,Rural,Wednesday,0,Serious
0,1378.0,30.0,Fine no high winds,Wet or damp,Daylight,Urban,Friday,0,Slight
0,998.0,50.0,Raining no high winds,Wet or damp,Darkness - lights lit,Urban,Saturday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Thursday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Saturday,0,Serious
0,2387.5,30.0,Fine no high winds,Dry,Daylight,Urban,Thursday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Rural,Tuesday,0,Serious
0,1954.5,70.0,Fine no high winds,Wet or damp,Daylight,Urban,Sunday,0,Slight
0,1242.0,30.0,Other,Wet or damp,Darkness - lights lit,Urban,Friday,0,Slight
0,1344.5,30.0,Fine + high winds,Wet or damp,Daylight,Urban,Sunday,0,Slight
0,1149.0,60.0,Fine no high winds,Wet or damp,Daylight,Rural,Saturday,0,Slight
0,0.0,30.0,Fine no high winds,Wet or damp,Daylight,Rural,Thursday,0,Slight
0,0.0,30.0,Raining + high winds,Wet or damp,Darkness - lights lit,Urban,Thursday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Thursday,0,Slight
0,1367.5,30.0,Fine no high winds,Dry,Daylight,Urban,Tuesday,0,Slight
0,124.0,30.0,Fine no high winds,Dry,Darkness - lights lit,Urban,Thursday,0,Slight
0,1446.5,30.0,Raining no high winds,Wet or damp,Daylight,Urban,Monday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Sunday,0,Serious
0,2695.0,60.0,Fine no high winds,Dry,Daylight,Rural,Thursday,0,Slight
0,89.0,30.0,Fine no high winds,Wet or damp,Daylight,Rural,Wednesday,0,Slight
0,0.0,60.0,Fine no high winds,Wet or damp,Daylight,Rural,Sunday,0,Slight
0,1998.0,60.0,Raining no high winds,Wet or damp,Daylight,Rural,Saturday,0,Slight
0,1968.0,30.0,Fine no high winds,Dry,Darkness - lights lit,Urban,Friday,0,Slight
0,1560.0,50.0,Fine no high winds,Dry,Darkness - lights lit,Rural,Sunday,0,Slight
0,1242.0,30.0,Fine no high winds,Dry,Daylight,Urban,Sunday,0,Slight
0,0.0,60.0,Fine no high winds,Dry,Darkness - no lighting,Rural,Monday,0,Slight
0,1693.5,30.0,Other,Wet or damp,Daylight,Urban,Friday,0,Slight
0,1783.0,70.0,Unknown,Data missing or out of range,Daylight,Rural,Saturday,0,Serious
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Saturday,0,Serious
0,1390.0,60.0,Raining + high winds,Wet or damp,Darkness - lights unlit,Rural,Sunday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Darkness - lights lit,Rural,Sunday,0,Serious
0,1597.0,50.0,Raining no high winds,Wet or damp,Daylight,Rural,Thursday,0,Slight
0,0.0,30.0,Other,Frost or ice,Darkness - lights lit,Urban,Saturday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Saturday,0,Serious
0,1461.0,30.0,Other,Wet or damp,Darkness - lights lit,Urban,Wednesday,0,Slight
0,1229.0,30.0,Fine no high winds,Dry,Daylight,Urban,Thursday,0,Slight
0,0.0,0.0,Fine no high winds,Dry,Daylight,Urban,Tuesday,0,Slight
0,49.0,30.0,Other,Wet or damp,Darkness - lights lit,Urban,Thursday,0,Slight
0,8268.0,30.0,Fine no high winds,Dry,Daylight,Urban,Wednesday,0,Slight
0,1840.0,30.0,Fine no high winds,Dry,Daylight,Rural,Friday,0,Slight
